"Series";"Time";"Value"
"cpu_usage_total.AAM";"2018-12-04T10:45:34+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T10:45:35+02:00";0.097
"cpu_usage_total.AAM";"2018-12-04T10:45:37+02:00";0.093
"cpu_usage_total.AAM";"2018-12-04T10:45:38+02:00";0.102
"cpu_usage_total.AAM";"2018-12-04T10:45:39+02:00";0.089
"cpu_usage_total.AAM";"2018-12-04T10:45:40+02:00";0.101
"cpu_usage_total.AAM";"2018-12-04T10:45:42+02:00";0.141
"cpu_usage_total.AAM";"2018-12-04T10:45:43+02:00";2.945
"cpu_usage_total.AAM";"2018-12-04T10:45:44+02:00";0.091
"cpu_usage_total.AAM";"2018-12-04T10:45:46+02:00";0.086
"cpu_usage_total.AAM";"2018-12-04T10:45:47+02:00";0.076
"cpu_usage_total.AAM";"2018-12-04T10:45:49+02:00";0.095
"cpu_usage_total.AAM";"2018-12-04T10:45:50+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T10:45:51+02:00";0.133
"cpu_usage_total.AAM";"2018-12-04T10:45:53+02:00";0.322
"cpu_usage_total.AAM";"2018-12-04T10:45:55+02:00";0.097
"cpu_usage_total.AAM";"2018-12-04T10:45:56+02:00";0.07
"cpu_usage_total.AAM";"2018-12-04T10:45:57+02:00";0.073
"cpu_usage_total.AAM";"2018-12-04T10:45:59+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T10:46:00+02:00";1.406
"cpu_usage_total.AAM";"2018-12-04T10:46:02+02:00";0.121
"cpu_usage_total.AAM";"2018-12-04T10:46:03+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T10:46:05+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T10:46:06+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T10:46:08+02:00";0.093
"cpu_usage_total.AAM";"2018-12-04T10:46:09+02:00";0.244
"cpu_usage_total.AAM";"2018-12-04T10:46:10+02:00";0.073
"cpu_usage_total.AAM";"2018-12-04T10:46:12+02:00";0.289
"cpu_usage_total.AAM";"2018-12-04T10:46:13+02:00";0.063
"cpu_usage_total.AAM";"2018-12-04T10:46:14+02:00";0.203
"cpu_usage_total.AAM";"2018-12-04T10:46:16+02:00";0.073
"cpu_usage_total.AAM";"2018-12-04T10:46:17+02:00";0.065
"cpu_usage_total.AAM";"2018-12-04T10:46:18+02:00";0.281
"cpu_usage_total.AAM";"2018-12-04T10:46:20+02:00";52.82
"cpu_usage_total.AAM";"2018-12-04T10:46:21+02:00";38.402
"cpu_usage_total.AAM";"2018-12-04T10:46:23+02:00";40.892
"cpu_usage_total.AAM";"2018-12-04T10:46:24+02:00";41.55
"cpu_usage_total.AAM";"2018-12-04T10:46:26+02:00";48.391
"cpu_usage_total.AAM";"2018-12-04T10:46:27+02:00";37.042
