"Series";"Time";"Value"
"cpu_usage_total.AAM";"2018-12-04T12:23:54+02:00";0.282
"cpu_usage_total.AAM";"2018-12-04T12:23:56+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:23:57+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:23:59+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:24:00+02:00";8.377
"cpu_usage_total.AAM";"2018-12-04T12:24:01+02:00";0.121
"cpu_usage_total.AAM";"2018-12-04T12:24:03+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:24:05+02:00";0.096
"cpu_usage_total.AAM";"2018-12-04T12:24:07+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T12:24:08+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:24:10+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:24:12+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:24:13+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:24:14+02:00";0.096
"cpu_usage_total.AAM";"2018-12-04T12:24:16+02:00";0.113
"cpu_usage_total.AAM";"2018-12-04T12:24:18+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:24:19+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T12:24:20+02:00";0.098
"cpu_usage_total.AAM";"2018-12-04T12:24:22+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:24:24+02:00";0.667
"cpu_usage_total.AAM";"2018-12-04T12:24:25+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:24:27+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:24:29+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:24:30+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:24:31+02:00";0.081
"cpu_usage_total.AAM";"2018-12-04T12:24:33+02:00";0.062
"cpu_usage_total.AAM";"2018-12-04T12:24:34+02:00";0.095
"cpu_usage_total.AAM";"2018-12-04T12:24:35+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:24:37+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:24:38+02:00";0.076
"cpu_usage_total.AAM";"2018-12-04T12:24:40+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:24:42+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:24:43+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:24:44+02:00";0.103
"cpu_usage_total.AAM";"2018-12-04T12:24:45+02:00";1.185
"cpu_usage_total.AAM";"2018-12-04T12:24:46+02:00";49.481
"cpu_usage_total.AAM";"2018-12-04T12:24:48+02:00";43.627
"cpu_usage_total.AAM";"2018-12-04T12:24:49+02:00";44.171
"cpu_usage_total.AAM";"2018-12-04T12:24:51+02:00";36.824
"cpu_usage_total.AAM";"2018-12-04T12:24:53+02:00";28.116
"cpu_usage_total.AAM";"2018-12-04T12:24:54+02:00";56.865
"cpu_usage_total.AAM";"2018-12-04T12:24:56+02:00";13.452
