"Series";"Time";"Value"
"cpu_usage_total.AAM";"2018-12-04T12:05:18+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:05:19+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:05:21+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:05:22+02:00";0.079
"cpu_usage_total.AAM";"2018-12-04T12:05:24+02:00";0.228
"cpu_usage_total.AAM";"2018-12-04T12:05:26+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:05:27+02:00";0.056
"cpu_usage_total.AAM";"2018-12-04T12:05:29+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:05:30+02:00";0.055
"cpu_usage_total.AAM";"2018-12-04T12:05:31+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:05:33+02:00";0.073
"cpu_usage_total.AAM";"2018-12-04T12:05:35+02:00";0.048
"cpu_usage_total.AAM";"2018-12-04T12:05:36+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:05:37+02:00";0.062
"cpu_usage_total.AAM";"2018-12-04T12:05:39+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T12:05:40+02:00";0.059
"cpu_usage_total.AAM";"2018-12-04T12:05:42+02:00";0.053
"cpu_usage_total.AAM";"2018-12-04T12:05:44+02:00";0.084
"cpu_usage_total.AAM";"2018-12-04T12:05:45+02:00";0.063
"cpu_usage_total.AAM";"2018-12-04T12:05:46+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:05:48+02:00";0.077
"cpu_usage_total.AAM";"2018-12-04T12:05:49+02:00";0.117
"cpu_usage_total.AAM";"2018-12-04T12:05:51+02:00";0.131
"cpu_usage_total.AAM";"2018-12-04T12:05:52+02:00";0.093
"cpu_usage_total.AAM";"2018-12-04T12:05:54+02:00";0.402
"cpu_usage_total.AAM";"2018-12-04T12:05:55+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:05:57+02:00";0.054
"cpu_usage_total.AAM";"2018-12-04T12:05:58+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:06:00+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:06:01+02:00";3.012
"cpu_usage_total.AAM";"2018-12-04T12:06:03+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:06:04+02:00";0.094
"cpu_usage_total.AAM";"2018-12-04T12:06:05+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:06:07+02:00";0.077
"cpu_usage_total.AAM";"2018-12-04T12:06:08+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T12:06:10+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:06:11+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:06:13+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:06:15+02:00";0.085
"cpu_usage_total.AAM";"2018-12-04T12:06:16+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:06:18+02:00";0.065
"cpu_usage_total.AAM";"2018-12-04T12:06:19+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:06:21+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:06:23+02:00";0.251
"cpu_usage_total.AAM";"2018-12-04T12:06:24+02:00";0.087
"cpu_usage_total.AAM";"2018-12-04T12:06:26+02:00";0.085
"cpu_usage_total.AAM";"2018-12-04T12:06:27+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:06:29+02:00";0.074
"cpu_usage_total.AAM";"2018-12-04T12:06:30+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:06:32+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:06:34+02:00";0.106
"cpu_usage_total.AAM";"2018-12-04T12:06:35+02:00";0.062
"cpu_usage_total.AAM";"2018-12-04T12:06:37+02:00";0.053
"cpu_usage_total.AAM";"2018-12-04T12:06:38+02:00";0.088
"cpu_usage_total.AAM";"2018-12-04T12:06:39+02:00";0.059
"cpu_usage_total.AAM";"2018-12-04T12:06:41+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:06:42+02:00";0.056
"cpu_usage_total.AAM";"2018-12-04T12:06:44+02:00";0.079
"cpu_usage_total.AAM";"2018-12-04T12:06:45+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:06:47+02:00";0.053
"cpu_usage_total.AAM";"2018-12-04T12:06:49+02:00";0.089
"cpu_usage_total.AAM";"2018-12-04T12:06:50+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:06:52+02:00";0.082
"cpu_usage_total.AAM";"2018-12-04T12:06:53+02:00";0.602
"cpu_usage_total.AAM";"2018-12-04T12:06:55+02:00";0.088
"cpu_usage_total.AAM";"2018-12-04T12:06:56+02:00";0.102
"cpu_usage_total.AAM";"2018-12-04T12:06:57+02:00";0.061
"cpu_usage_total.AAM";"2018-12-04T12:06:59+02:00";0.062
"cpu_usage_total.AAM";"2018-12-04T12:07:00+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:07:02+02:00";0.06
"cpu_usage_total.AAM";"2018-12-04T12:07:03+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:07:05+02:00";0.077
"cpu_usage_total.AAM";"2018-12-04T12:07:06+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T12:07:08+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:07:09+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:07:10+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:07:12+02:00";0.062
"cpu_usage_total.AAM";"2018-12-04T12:07:14+02:00";0.088
"cpu_usage_total.AAM";"2018-12-04T12:07:15+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:07:17+02:00";0.078
"cpu_usage_total.AAM";"2018-12-04T12:07:19+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:07:20+02:00";0.063
"cpu_usage_total.AAM";"2018-12-04T12:07:22+02:00";0.088
"cpu_usage_total.AAM";"2018-12-04T12:07:24+02:00";0.656
"cpu_usage_total.AAM";"2018-12-04T12:07:25+02:00";0.066
"cpu_usage_total.AAM";"2018-12-04T12:07:26+02:00";0.091
"cpu_usage_total.AAM";"2018-12-04T12:07:28+02:00";0.077
"cpu_usage_total.AAM";"2018-12-04T12:07:30+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:07:31+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:07:33+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:07:34+02:00";0.092
"cpu_usage_total.AAM";"2018-12-04T12:07:36+02:00";0.057
"cpu_usage_total.AAM";"2018-12-04T12:07:37+02:00";0.082
"cpu_usage_total.AAM";"2018-12-04T12:07:38+02:00";0.085
"cpu_usage_total.AAM";"2018-12-04T12:07:40+02:00";0.064
"cpu_usage_total.AAM";"2018-12-04T12:07:42+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:07:43+02:00";0.087
"cpu_usage_total.AAM";"2018-12-04T12:07:45+02:00";0.069
"cpu_usage_total.AAM";"2018-12-04T12:07:46+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:07:48+02:00";0.076
"cpu_usage_total.AAM";"2018-12-04T12:07:49+02:00";0.089
"cpu_usage_total.AAM";"2018-12-04T12:07:51+02:00";0.059
"cpu_usage_total.AAM";"2018-12-04T12:07:52+02:00";0.263
"cpu_usage_total.AAM";"2018-12-04T12:07:53+02:00";0.424
"cpu_usage_total.AAM";"2018-12-04T12:07:55+02:00";0.065
"cpu_usage_total.AAM";"2018-12-04T12:07:56+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:07:58+02:00";0.065
"cpu_usage_total.AAM";"2018-12-04T12:07:59+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:08:00+02:00";2.765
"cpu_usage_total.AAM";"2018-12-04T12:08:02+02:00";0.137
"cpu_usage_total.AAM";"2018-12-04T12:08:04+02:00";0.125
"cpu_usage_total.AAM";"2018-12-04T12:08:05+02:00";0.073
"cpu_usage_total.AAM";"2018-12-04T12:08:07+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:08:08+02:00";0.084
"cpu_usage_total.AAM";"2018-12-04T12:08:10+02:00";0.098
"cpu_usage_total.AAM";"2018-12-04T12:08:12+02:00";0.097
"cpu_usage_total.AAM";"2018-12-04T12:08:14+02:00";0.081
"cpu_usage_total.AAM";"2018-12-04T12:08:15+02:00";0.06
"cpu_usage_total.AAM";"2018-12-04T12:08:16+02:00";0.075
"cpu_usage_total.AAM";"2018-12-04T12:08:17+02:00";0.067
"cpu_usage_total.AAM";"2018-12-04T12:08:19+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:08:20+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:08:21+02:00";0.537
"cpu_usage_total.AAM";"2018-12-04T12:08:23+02:00";0.749
"cpu_usage_total.AAM";"2018-12-04T12:08:25+02:00";0.13
"cpu_usage_total.AAM";"2018-12-04T12:08:26+02:00";0.135
"cpu_usage_total.AAM";"2018-12-04T12:08:27+02:00";0.08
"cpu_usage_total.AAM";"2018-12-04T12:08:28+02:00";0.072
"cpu_usage_total.AAM";"2018-12-04T12:08:29+02:00";0.068
"cpu_usage_total.AAM";"2018-12-04T12:08:31+02:00";0.074
"cpu_usage_total.AAM";"2018-12-04T12:08:32+02:00";0.071
"cpu_usage_total.AAM";"2018-12-04T12:08:34+02:00";0.102
"cpu_usage_total.AAM";"2018-12-04T12:08:35+02:00";0.065
