"Series";"Time";"Value"
"cpu_usage_total.RAP";"2018-11-28T16:47:16+02:00";0.089
"cpu_usage_total.RAP";"2018-11-28T16:47:17+02:00";0.073
"cpu_usage_total.RAP";"2018-11-28T16:47:18+02:00";0.079
"cpu_usage_total.RAP";"2018-11-28T16:47:20+02:00";0.088
"cpu_usage_total.RAP";"2018-11-28T16:47:22+02:00";0.094
"cpu_usage_total.RAP";"2018-11-28T16:47:23+02:00";0.101
"cpu_usage_total.RAP";"2018-11-28T16:47:25+02:00";0.104
"cpu_usage_total.RAP";"2018-11-28T16:47:26+02:00";0.069
"cpu_usage_total.RAP";"2018-11-28T16:47:28+02:00";0.082
"cpu_usage_total.RAP";"2018-11-28T16:47:30+02:00";0.077
"cpu_usage_total.RAP";"2018-11-28T16:47:31+02:00";0.316
"cpu_usage_total.RAP";"2018-11-28T16:47:33+02:00";0.241
"cpu_usage_total.RAP";"2018-11-28T16:47:34+02:00";0.105
"cpu_usage_total.RAP";"2018-11-28T16:47:36+02:00";0.081
"cpu_usage_total.RAP";"2018-11-28T16:47:37+02:00";0.08
"cpu_usage_total.RAP";"2018-11-28T16:47:38+02:00";0.087
"cpu_usage_total.RAP";"2018-11-28T16:47:39+02:00";0.075
"cpu_usage_total.RAP";"2018-11-28T16:47:41+02:00";0.087
"cpu_usage_total.RAP";"2018-11-28T16:47:42+02:00";0.106
"cpu_usage_total.RAP";"2018-11-28T16:47:43+02:00";0.085
"cpu_usage_total.RAP";"2018-11-28T16:47:45+02:00";0.109
"cpu_usage_total.RAP";"2018-11-28T16:47:46+02:00";0.086
"cpu_usage_total.RAP";"2018-11-28T16:47:48+02:00";0.083
"cpu_usage_total.RAP";"2018-11-28T16:47:50+02:00";0.073
"cpu_usage_total.RAP";"2018-11-28T16:47:51+02:00";0.1
"cpu_usage_total.RAP";"2018-11-28T16:47:52+02:00";0.074
"cpu_usage_total.RAP";"2018-11-28T16:47:54+02:00";0.103
"cpu_usage_total.RAP";"2018-11-28T16:47:56+02:00";0.127
"cpu_usage_total.RAP";"2018-11-28T16:47:57+02:00";0.082
"cpu_usage_total.RAP";"2018-11-28T16:47:58+02:00";0.078
"cpu_usage_total.RAP";"2018-11-28T16:48:00+02:00";0.085
"cpu_usage_total.RAP";"2018-11-28T16:48:02+02:00";0.108
"cpu_usage_total.RAP";"2018-11-28T16:48:04+02:00";0.089
"cpu_usage_total.RAP";"2018-11-28T16:48:05+02:00";0.109
"cpu_usage_total.RAP";"2018-11-28T16:48:07+02:00";0.082
"cpu_usage_total.RAP";"2018-11-28T16:48:09+02:00";0.071
"cpu_usage_total.RAP";"2018-11-28T16:48:10+02:00";0.067
"cpu_usage_total.RAP";"2018-11-28T16:48:11+02:00";0.107
"cpu_usage_total.RAP";"2018-11-28T16:48:13+02:00";0.082
"cpu_usage_total.RAP";"2018-11-28T16:48:14+02:00";0.091
"cpu_usage_total.RAP";"2018-11-28T16:48:16+02:00";0.098
"cpu_usage_total.RAP";"2018-11-28T16:48:17+02:00";0.068
"cpu_usage_total.RAP";"2018-11-28T16:48:19+02:00";0.064
"cpu_usage_total.RAP";"2018-11-28T16:48:21+02:00";0.075
"cpu_usage_total.RAP";"2018-11-28T16:48:23+02:00";0.085
"cpu_usage_total.RAP";"2018-11-28T16:48:24+02:00";0.093
"cpu_usage_total.RAP";"2018-11-28T16:48:25+02:00";0.121
"cpu_usage_total.RAP";"2018-11-28T16:48:27+02:00";0.074
"cpu_usage_total.RAP";"2018-11-28T16:48:28+02:00";0.087
"cpu_usage_total.RAP";"2018-11-28T16:48:30+02:00";0.081
"cpu_usage_total.RAP";"2018-11-28T16:48:31+02:00";0.101
"cpu_usage_total.RAP";"2018-11-28T16:48:33+02:00";0.066
"cpu_usage_total.RAP";"2018-11-28T16:48:34+02:00";0.094
"cpu_usage_total.RAP";"2018-11-28T16:48:35+02:00";0.112
"cpu_usage_total.RAP";"2018-11-28T16:48:37+02:00";0.079
"cpu_usage_total.RAP";"2018-11-28T16:48:38+02:00";0.078
"cpu_usage_total.RAP";"2018-11-28T16:48:40+02:00";0.064
"cpu_usage_total.RAP";"2018-11-28T16:48:41+02:00";0.106
"cpu_usage_total.RAP";"2018-11-28T16:48:43+02:00";0.068
"cpu_usage_total.RAP";"2018-11-28T16:48:44+02:00";0.13
"cpu_usage_total.RAP";"2018-11-28T16:48:46+02:00";0.068
"cpu_usage_total.RAP";"2018-11-28T16:48:48+02:00";0.07
"cpu_usage_total.RAP";"2018-11-28T16:48:50+02:00";0.069
"cpu_usage_total.RAP";"2018-11-28T16:48:51+02:00";0.086
"cpu_usage_total.RAP";"2018-11-28T16:48:53+02:00";0.091
"cpu_usage_total.RAP";"2018-11-28T16:48:54+02:00";0.112
"cpu_usage_total.RAP";"2018-11-28T16:48:55+02:00";0.119
"cpu_usage_total.RAP";"2018-11-28T16:48:57+02:00";0.101
"cpu_usage_total.RAP";"2018-11-28T16:48:59+02:00";0.075
"cpu_usage_total.RAP";"2018-11-28T16:49:00+02:00";0.079
"cpu_usage_total.RAP";"2018-11-28T16:49:01+02:00";0.098
"cpu_usage_total.RAP";"2018-11-28T16:49:03+02:00";0.085
"cpu_usage_total.RAP";"2018-11-28T16:49:05+02:00";0.107
"cpu_usage_total.RAP";"2018-11-28T16:49:06+02:00";0.093
"cpu_usage_total.RAP";"2018-11-28T16:49:08+02:00";0.076
"cpu_usage_total.RAP";"2018-11-28T16:49:10+02:00";0.069
"cpu_usage_total.RAP";"2018-11-28T16:49:11+02:00";0.108
"cpu_usage_total.RAP";"2018-11-28T16:49:13+02:00";0.085
"cpu_usage_total.RAP";"2018-11-28T16:49:14+02:00";0.103
"cpu_usage_total.RAP";"2018-11-28T16:49:16+02:00";0.076
