"Series";"Time";"Value"
"memory_usage.RAP";"2018-11-29T10:36:32+02:00";614,715,392
"memory_usage.RAP";"2018-11-29T10:36:34+02:00";614,719,488
"memory_usage.RAP";"2018-11-29T10:36:36+02:00";614,727,680
"memory_usage.RAP";"2018-11-29T10:36:38+02:00";614,727,680
"memory_usage.RAP";"2018-11-29T10:36:40+02:00";614,846,464
"memory_usage.RAP";"2018-11-29T10:36:42+02:00";614,723,584
"memory_usage.RAP";"2018-11-29T10:36:44+02:00";614,723,584
"memory_usage.RAP";"2018-11-29T10:36:46+02:00";614,715,392
"memory_usage.RAP";"2018-11-29T10:36:48+02:00";620,806,144
"memory_usage.RAP";"2018-11-29T10:36:50+02:00";620,814,336
"memory_usage.RAP";"2018-11-29T10:36:52+02:00";614,760,448
"memory_usage.RAP";"2018-11-29T10:36:54+02:00";614,760,448
"memory_usage.RAP";"2018-11-29T10:36:56+02:00";620,752,896
"memory_usage.RAP";"2018-11-29T10:36:58+02:00";620,920,832
"memory_usage.RAP";"2018-11-29T10:37:00+02:00";620,924,928
"memory_usage.RAP";"2018-11-29T10:37:02+02:00";615,800,832
"memory_usage.RAP";"2018-11-29T10:37:04+02:00";615,931,904
"memory_usage.RAP";"2018-11-29T10:37:06+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:08+02:00";615,813,120
"memory_usage.RAP";"2018-11-29T10:37:10+02:00";615,800,832
"memory_usage.RAP";"2018-11-29T10:37:12+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:14+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:16+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:18+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:20+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:22+02:00";615,809,024
"memory_usage.RAP";"2018-11-29T10:37:24+02:00";634,093,568
"memory_usage.RAP";"2018-11-29T10:37:26+02:00";636,370,944
"memory_usage.RAP";"2018-11-29T10:37:28+02:00";624,967,680
"memory_usage.RAP";"2018-11-29T10:37:30+02:00";620,589,056
"memory_usage.RAP";"2018-11-29T10:37:32+02:00";620,298,240
"memory_usage.RAP";"2018-11-29T10:37:34+02:00";617,775,104
"memory_usage.RAP";"2018-11-29T10:37:36+02:00";617,910,272
"memory_usage.RAP";"2018-11-29T10:37:38+02:00";610,533,376
"memory_usage.RAP";"2018-11-29T10:37:40+02:00";610,533,376
"memory_usage.RAP";"2018-11-29T10:37:42+02:00";610,533,376
"memory_usage.RAP";"2018-11-29T10:37:44+02:00";610,533,376
"memory_usage.RAP";"2018-11-29T10:37:46+02:00";610,537,472
"memory_usage.RAP";"2018-11-29T10:37:48+02:00";610,537,472
"memory_usage.RAP";"2018-11-29T10:37:50+02:00";610,078,720
"memory_usage.RAP";"2018-11-29T10:37:52+02:00";609,554,432
"memory_usage.RAP";"2018-11-29T10:37:54+02:00";610,414,592
"memory_usage.RAP";"2018-11-29T10:37:56+02:00";617,213,952
"memory_usage.RAP";"2018-11-29T10:37:58+02:00";613,965,824
"memory_usage.RAP";"2018-11-29T10:38:00+02:00";613,969,920
"memory_usage.RAP";"2018-11-29T10:38:02+02:00";631,152,640
"memory_usage.RAP";"2018-11-29T10:38:04+02:00";610,041,856
"memory_usage.RAP";"2018-11-29T10:38:06+02:00";610,177,024
"memory_usage.RAP";"2018-11-29T10:38:08+02:00";610,054,144
"memory_usage.RAP";"2018-11-29T10:38:10+02:00";610,054,144
"memory_usage.RAP";"2018-11-29T10:38:12+02:00";610,054,144
"memory_usage.RAP";"2018-11-29T10:38:14+02:00";610,058,240
"memory_usage.RAP";"2018-11-29T10:38:16+02:00";610,054,144
"memory_usage.RAP";"2018-11-29T10:38:18+02:00";610,054,144
"memory_usage.RAP";"2018-11-29T10:38:20+02:00";610,058,240
"memory_usage.RAP";"2018-11-29T10:38:22+02:00";617,746,432
"memory_usage.RAP";"2018-11-29T10:38:24+02:00";634,138,624
"memory_usage.RAP";"2018-11-29T10:38:26+02:00";624,205,824
"memory_usage.RAP";"2018-11-29T10:38:28+02:00";632,893,440
"memory_usage.RAP";"2018-11-29T10:38:30+02:00";612,253,696
"memory_usage.RAP";"2018-11-29T10:38:32+02:00";615,788,544
"memory_usage.RAP";"2018-11-29T10:38:34+02:00";615,792,640
"memory_usage.RAP";"2018-11-29T10:38:36+02:00";613,453,824
"memory_usage.RAP";"2018-11-29T10:38:38+02:00";613,457,920
"memory_usage.RAP";"2018-11-29T10:38:40+02:00";610,373,632
"memory_usage.RAP";"2018-11-29T10:38:42+02:00";610,381,824
"memory_usage.RAP";"2018-11-29T10:38:44+02:00";609,890,304
"memory_usage.RAP";"2018-11-29T10:38:46+02:00";609,628,160
"memory_usage.RAP";"2018-11-29T10:38:48+02:00";609,619,968
"memory_usage.RAP";"2018-11-29T10:38:50+02:00";609,619,968
"memory_usage.RAP";"2018-11-29T10:38:52+02:00";609,628,160
"memory_usage.RAP";"2018-11-29T10:38:54+02:00";609,628,160
"memory_usage.RAP";"2018-11-29T10:38:56+02:00";609,632,256
"memory_usage.RAP";"2018-11-29T10:38:58+02:00";609,632,256
"memory_usage.RAP";"2018-11-29T10:39:00+02:00";626,024,448
"memory_usage.RAP";"2018-11-29T10:39:02+02:00";637,300,736
"memory_usage.RAP";"2018-11-29T10:39:04+02:00";621,142,016
"memory_usage.RAP";"2018-11-29T10:39:06+02:00";658,632,704
"memory_usage.RAP";"2018-11-29T10:39:08+02:00";618,680,320
"memory_usage.RAP";"2018-11-29T10:39:10+02:00";623,890,432
"memory_usage.RAP";"2018-11-29T10:39:12+02:00";618,823,680
"memory_usage.RAP";"2018-11-29T10:39:14+02:00";618,831,872
"memory_usage.RAP";"2018-11-29T10:39:16+02:00";613,425,152
"memory_usage.RAP";"2018-11-29T10:39:18+02:00";613,433,344
"memory_usage.RAP";"2018-11-29T10:39:20+02:00";613,433,344
"memory_usage.RAP";"2018-11-29T10:39:22+02:00";613,433,344
"memory_usage.RAP";"2018-11-29T10:39:24+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:26+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:28+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:30+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:32+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:34+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:36+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:38+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:40+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:42+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:44+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:46+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:48+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:50+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:52+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:54+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:56+02:00";613,421,056
"memory_usage.RAP";"2018-11-29T10:39:58+02:00";613,429,248
"memory_usage.RAP";"2018-11-29T10:40:00+02:00";639,299,584
"memory_usage.RAP";"2018-11-29T10:40:02+02:00";622,284,800
"memory_usage.RAP";"2018-11-29T10:40:04+02:00";622,940,160
"memory_usage.RAP";"2018-11-29T10:40:06+02:00";615,944,192
"memory_usage.RAP";"2018-11-29T10:40:08+02:00";648,155,136
"memory_usage.RAP";"2018-11-29T10:40:10+02:00";622,456,832
"memory_usage.RAP";"2018-11-29T10:40:12+02:00";615,108,608
"memory_usage.RAP";"2018-11-29T10:40:14+02:00";622,166,016
"memory_usage.RAP";"2018-11-29T10:40:16+02:00";621,846,528
"memory_usage.RAP";"2018-11-29T10:40:18+02:00";619,261,952
"memory_usage.RAP";"2018-11-29T10:40:20+02:00";619,266,048
"memory_usage.RAP";"2018-11-29T10:40:22+02:00";615,497,728
"memory_usage.RAP";"2018-11-29T10:40:24+02:00";615,489,536
"memory_usage.RAP";"2018-11-29T10:40:26+02:00";615,489,536
"memory_usage.RAP";"2018-11-29T10:40:28+02:00";615,497,728
"memory_usage.RAP";"2018-11-29T10:40:30+02:00";615,497,728
"memory_usage.RAP";"2018-11-29T10:40:32+02:00";615,501,824
"memory_usage.RAP";"2018-11-29T10:40:34+02:00";615,489,536
"memory_usage.RAP";"2018-11-29T10:40:36+02:00";618,692,608
"memory_usage.RAP";"2018-11-29T10:40:38+02:00";618,696,704
"memory_usage.RAP";"2018-11-29T10:40:40+02:00";657,969,152
"memory_usage.RAP";"2018-11-29T10:40:42+02:00";636,157,952
"memory_usage.RAP";"2018-11-29T10:40:44+02:00";626,298,880
"memory_usage.RAP";"2018-11-29T10:40:46+02:00";625,238,016
"memory_usage.RAP";"2018-11-29T10:40:48+02:00";625,242,112
"memory_usage.RAP";"2018-11-29T10:40:50+02:00";635,912,192
"memory_usage.RAP";"2018-11-29T10:40:52+02:00";618,549,248
"memory_usage.RAP";"2018-11-29T10:40:54+02:00";618,549,248
"memory_usage.RAP";"2018-11-29T10:40:56+02:00";622,182,400
"memory_usage.RAP";"2018-11-29T10:40:58+02:00";622,182,400
"memory_usage.RAP";"2018-11-29T10:41:00+02:00";622,186,496
"memory_usage.RAP";"2018-11-29T10:41:02+02:00";618,450,944
"memory_usage.RAP";"2018-11-29T10:41:04+02:00";618,450,944
"memory_usage.RAP";"2018-11-29T10:41:06+02:00";618,450,944
"memory_usage.RAP";"2018-11-29T10:41:08+02:00";618,569,728
"memory_usage.RAP";"2018-11-29T10:41:10+02:00";618,446,848
"memory_usage.RAP";"2018-11-29T10:41:12+02:00";618,446,848
"memory_usage.RAP";"2018-11-29T10:41:14+02:00";618,438,656
"memory_usage.RAP";"2018-11-29T10:41:16+02:00";618,446,848
"memory_usage.RAP";"2018-11-29T10:41:18+02:00";618,446,848
"memory_usage.RAP";"2018-11-29T10:41:20+02:00";636,051,456
"memory_usage.RAP";"2018-11-29T10:41:22+02:00";615,329,792
"memory_usage.RAP";"2018-11-29T10:41:24+02:00";657,850,368
"memory_usage.RAP";"2018-11-29T10:41:26+02:00";616,042,496
"memory_usage.RAP";"2018-11-29T10:41:28+02:00";654,655,488
"memory_usage.RAP";"2018-11-29T10:41:30+02:00";642,220,032
"memory_usage.RAP";"2018-11-29T10:41:32+02:00";616,554,496
"memory_usage.RAP";"2018-11-29T10:41:34+02:00";616,558,592
"memory_usage.RAP";"2018-11-29T10:41:36+02:00";616,001,536
"memory_usage.RAP";"2018-11-29T10:41:38+02:00";616,005,632
"memory_usage.RAP";"2018-11-29T10:41:40+02:00";616,013,824
"memory_usage.RAP";"2018-11-29T10:41:42+02:00";616,005,632
"memory_usage.RAP";"2018-11-29T10:41:44+02:00";616,005,632
"memory_usage.RAP";"2018-11-29T10:41:46+02:00";616,136,704
"memory_usage.RAP";"2018-11-29T10:41:48+02:00";616,013,824
