"Series";"Time";"Value"
"cpu_usage_total.AAM";"2018-11-29T12:24:44+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:24:46+02:00";0.106
"cpu_usage_total.AAM";"2018-11-29T12:24:47+02:00";0.087
"cpu_usage_total.AAM";"2018-11-29T12:24:49+02:00";0.072
"cpu_usage_total.AAM";"2018-11-29T12:24:51+02:00";0.064
"cpu_usage_total.AAM";"2018-11-29T12:24:52+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:24:53+02:00";0.073
"cpu_usage_total.AAM";"2018-11-29T12:24:54+02:00";0.071
"cpu_usage_total.AAM";"2018-11-29T12:24:56+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:24:58+02:00";0.062
"cpu_usage_total.AAM";"2018-11-29T12:24:59+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T12:25:01+02:00";2.627
"cpu_usage_total.AAM";"2018-11-29T12:25:03+02:00";0.075
"cpu_usage_total.AAM";"2018-11-29T12:25:05+02:00";0.063
"cpu_usage_total.AAM";"2018-11-29T12:25:06+02:00";0.397
"cpu_usage_total.AAM";"2018-11-29T12:25:07+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:25:08+02:00";0.074
"cpu_usage_total.AAM";"2018-11-29T12:25:10+02:00";0.059
"cpu_usage_total.AAM";"2018-11-29T12:25:11+02:00";0.074
"cpu_usage_total.AAM";"2018-11-29T12:25:13+02:00";0.071
"cpu_usage_total.AAM";"2018-11-29T12:25:14+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:25:16+02:00";0.107
"cpu_usage_total.AAM";"2018-11-29T12:25:18+02:00";0.063
"cpu_usage_total.AAM";"2018-11-29T12:25:19+02:00";0.144
"cpu_usage_total.AAM";"2018-11-29T12:25:21+02:00";0.097
"cpu_usage_total.AAM";"2018-11-29T12:25:23+02:00";0.258
"cpu_usage_total.AAM";"2018-11-29T12:25:24+02:00";0.091
"cpu_usage_total.AAM";"2018-11-29T12:25:26+02:00";0.132
"cpu_usage_total.AAM";"2018-11-29T12:25:27+02:00";0.091
"cpu_usage_total.AAM";"2018-11-29T12:25:28+02:00";0.138
"cpu_usage_total.AAM";"2018-11-29T12:25:30+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:25:31+02:00";0.451
"cpu_usage_total.AAM";"2018-11-29T12:25:32+02:00";0.109
"cpu_usage_total.AAM";"2018-11-29T12:25:34+02:00";0.29
"cpu_usage_total.AAM";"2018-11-29T12:25:35+02:00";8.319
"cpu_usage_total.AAM";"2018-11-29T12:25:36+02:00";0.388
"cpu_usage_total.AAM";"2018-11-29T12:25:37+02:00";0.088
"cpu_usage_total.AAM";"2018-11-29T12:25:39+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:25:41+02:00";1.585
"cpu_usage_total.AAM";"2018-11-29T12:25:42+02:00";7.587
"cpu_usage_total.AAM";"2018-11-29T12:25:44+02:00";15.345
"cpu_usage_total.AAM";"2018-11-29T12:25:45+02:00";22.167
"cpu_usage_total.AAM";"2018-11-29T12:25:46+02:00";19.222
"cpu_usage_total.AAM";"2018-11-29T12:25:47+02:00";14.372
"cpu_usage_total.AAM";"2018-11-29T12:25:49+02:00";12.01
"cpu_usage_total.AAM";"2018-11-29T12:25:51+02:00";9.003
"cpu_usage_total.AAM";"2018-11-29T12:25:52+02:00";23.347
"cpu_usage_total.AAM";"2018-11-29T12:25:54+02:00";17.037
"cpu_usage_total.AAM";"2018-11-29T12:25:56+02:00";22.625
"cpu_usage_total.AAM";"2018-11-29T12:25:57+02:00";22.074
"cpu_usage_total.AAM";"2018-11-29T12:25:59+02:00";18.022
"cpu_usage_total.AAM";"2018-11-29T12:26:00+02:00";21.441
"cpu_usage_total.AAM";"2018-11-29T12:26:01+02:00";25.224
"cpu_usage_total.AAM";"2018-11-29T12:26:02+02:00";17.115
"cpu_usage_total.AAM";"2018-11-29T12:26:04+02:00";24.976
"cpu_usage_total.AAM";"2018-11-29T12:26:05+02:00";29.476
"cpu_usage_total.AAM";"2018-11-29T12:26:06+02:00";28.176
"cpu_usage_total.AAM";"2018-11-29T12:26:08+02:00";19.086
"cpu_usage_total.AAM";"2018-11-29T12:26:09+02:00";22.59
"cpu_usage_total.AAM";"2018-11-29T12:26:11+02:00";26.786
"cpu_usage_total.AAM";"2018-11-29T12:26:12+02:00";26.99
"cpu_usage_total.AAM";"2018-11-29T12:26:14+02:00";36.569
"cpu_usage_total.AAM";"2018-11-29T12:26:16+02:00";18.009
"cpu_usage_total.AAM";"2018-11-29T12:26:17+02:00";0.153
"cpu_usage_total.AAM";"2018-11-29T12:26:19+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:26:20+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:26:22+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T12:26:24+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:26:26+02:00";0.326
"cpu_usage_total.AAM";"2018-11-29T12:26:28+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:26:29+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T12:26:31+02:00";0.507
"cpu_usage_total.AAM";"2018-11-29T12:26:33+02:00";0.063
"cpu_usage_total.AAM";"2018-11-29T12:26:34+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:26:36+02:00";0.136
"cpu_usage_total.AAM";"2018-11-29T12:26:38+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T12:26:40+02:00";0.097
"cpu_usage_total.AAM";"2018-11-29T12:26:41+02:00";0.09
"cpu_usage_total.AAM";"2018-11-29T12:26:43+02:00";0.104
"cpu_usage_total.AAM";"2018-11-29T12:26:45+02:00";0.131
"cpu_usage_total.AAM";"2018-11-29T12:26:46+02:00";0.129
"cpu_usage_total.AAM";"2018-11-29T12:26:48+02:00";0.087
"cpu_usage_total.AAM";"2018-11-29T12:26:50+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:26:51+02:00";0.094
"cpu_usage_total.AAM";"2018-11-29T12:26:53+02:00";0.089
"cpu_usage_total.AAM";"2018-11-29T12:26:54+02:00";0.088
"cpu_usage_total.AAM";"2018-11-29T12:26:56+02:00";0.121
"cpu_usage_total.AAM";"2018-11-29T12:26:57+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:26:59+02:00";0.28
"cpu_usage_total.AAM";"2018-11-29T12:27:00+02:00";0.119
"cpu_usage_total.AAM";"2018-11-29T12:27:01+02:00";0.535
"cpu_usage_total.AAM";"2018-11-29T12:27:03+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:27:05+02:00";0.081
"cpu_usage_total.AAM";"2018-11-29T12:27:06+02:00";0.23
"cpu_usage_total.AAM";"2018-11-29T12:27:08+02:00";0.098
"cpu_usage_total.AAM";"2018-11-29T12:27:09+02:00";0.089
"cpu_usage_total.AAM";"2018-11-29T12:27:11+02:00";0.088
"cpu_usage_total.AAM";"2018-11-29T12:27:12+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:27:14+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T12:27:15+02:00";0.105
"cpu_usage_total.AAM";"2018-11-29T12:27:17+02:00";0.084
"cpu_usage_total.AAM";"2018-11-29T12:27:19+02:00";0.072
"cpu_usage_total.AAM";"2018-11-29T12:27:20+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T12:27:21+02:00";0.087
"cpu_usage_total.AAM";"2018-11-29T12:27:23+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:27:24+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T12:27:25+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:27:26+02:00";0.288
"cpu_usage_total.AAM";"2018-11-29T12:27:28+02:00";0.095
"cpu_usage_total.AAM";"2018-11-29T12:27:30+02:00";0.106
"cpu_usage_total.AAM";"2018-11-29T12:27:31+02:00";0.77
"cpu_usage_total.AAM";"2018-11-29T12:27:32+02:00";0.072
"cpu_usage_total.AAM";"2018-11-29T12:27:34+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:27:36+02:00";0.113
"cpu_usage_total.AAM";"2018-11-29T12:27:37+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:27:39+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T12:27:40+02:00";0.085
"cpu_usage_total.AAM";"2018-11-29T12:27:42+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:27:43+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:27:45+02:00";0.074
"cpu_usage_total.AAM";"2018-11-29T12:27:46+02:00";1.238
"cpu_usage_total.AAM";"2018-11-29T12:27:47+02:00";0.103
"cpu_usage_total.AAM";"2018-11-29T12:27:49+02:00";0.07
"cpu_usage_total.AAM";"2018-11-29T12:27:50+02:00";0.075
"cpu_usage_total.AAM";"2018-11-29T12:27:52+02:00";0.071
"cpu_usage_total.AAM";"2018-11-29T12:27:53+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:27:55+02:00";0.064
"cpu_usage_total.AAM";"2018-11-29T12:27:56+02:00";0.133
"cpu_usage_total.AAM";"2018-11-29T12:27:58+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:28:00+02:00";1.196
"cpu_usage_total.AAM";"2018-11-29T12:28:01+02:00";3.315
"cpu_usage_total.AAM";"2018-11-29T12:28:03+02:00";0.068
"cpu_usage_total.AAM";"2018-11-29T12:28:05+02:00";0.064
"cpu_usage_total.AAM";"2018-11-29T12:28:06+02:00";0.122
"cpu_usage_total.AAM";"2018-11-29T12:28:08+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:28:09+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:28:10+02:00";0.088
"cpu_usage_total.AAM";"2018-11-29T12:28:12+02:00";0.061
"cpu_usage_total.AAM";"2018-11-29T12:28:14+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:28:15+02:00";0.205
"cpu_usage_total.AAM";"2018-11-29T12:28:17+02:00";0.098
"cpu_usage_total.AAM";"2018-11-29T12:28:18+02:00";0.098
"cpu_usage_total.AAM";"2018-11-29T12:28:20+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:28:22+02:00";0.092
"cpu_usage_total.AAM";"2018-11-29T12:28:23+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T12:28:24+02:00";0.091
"cpu_usage_total.AAM";"2018-11-29T12:28:25+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T12:28:26+02:00";0.465
"cpu_usage_total.AAM";"2018-11-29T12:28:28+02:00";0.095
"cpu_usage_total.AAM";"2018-11-29T12:28:29+02:00";0.073
"cpu_usage_total.AAM";"2018-11-29T12:28:31+02:00";0.468
"cpu_usage_total.AAM";"2018-11-29T12:28:32+02:00";0.11
"cpu_usage_total.AAM";"2018-11-29T12:28:34+02:00";0.075
"cpu_usage_total.AAM";"2018-11-29T12:28:35+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T12:28:37+02:00";0.659
"cpu_usage_total.AAM";"2018-11-29T12:28:39+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T12:28:41+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:28:43+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:28:44+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T12:28:46+02:00";0.194
"cpu_usage_total.AAM";"2018-11-29T12:28:47+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T12:28:48+02:00";0.073
"cpu_usage_total.AAM";"2018-11-29T12:28:50+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:28:52+02:00";0.114
"cpu_usage_total.AAM";"2018-11-29T12:28:53+02:00";0.093
"cpu_usage_total.AAM";"2018-11-29T12:28:55+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:28:56+02:00";0.136
"cpu_usage_total.AAM";"2018-11-29T12:28:58+02:00";0.085
"cpu_usage_total.AAM";"2018-11-29T12:28:59+02:00";0.103
"cpu_usage_total.AAM";"2018-11-29T12:29:00+02:00";0.73
"cpu_usage_total.AAM";"2018-11-29T12:29:02+02:00";0.256
"cpu_usage_total.AAM";"2018-11-29T12:29:03+02:00";0.07
"cpu_usage_total.AAM";"2018-11-29T12:29:04+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T12:29:06+02:00";0.102
"cpu_usage_total.AAM";"2018-11-29T12:29:08+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:29:09+02:00";0.073
"cpu_usage_total.AAM";"2018-11-29T12:29:11+02:00";0.062
"cpu_usage_total.AAM";"2018-11-29T12:29:13+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T12:29:14+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:29:16+02:00";0.102
"cpu_usage_total.AAM";"2018-11-29T12:29:17+02:00";0.076
"cpu_usage_total.AAM";"2018-11-29T12:29:19+02:00";0.063
"cpu_usage_total.AAM";"2018-11-29T12:29:20+02:00";0.064
"cpu_usage_total.AAM";"2018-11-29T12:29:22+02:00";0.072
"cpu_usage_total.AAM";"2018-11-29T12:29:24+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:29:25+02:00";0.112
"cpu_usage_total.AAM";"2018-11-29T12:29:26+02:00";0.069
"cpu_usage_total.AAM";"2018-11-29T12:29:28+02:00";0.079
"cpu_usage_total.AAM";"2018-11-29T12:29:30+02:00";0.197
"cpu_usage_total.AAM";"2018-11-29T12:29:31+02:00";0.213
"cpu_usage_total.AAM";"2018-11-29T12:29:33+02:00";0.051
"cpu_usage_total.AAM";"2018-11-29T12:29:34+02:00";0.059
"cpu_usage_total.AAM";"2018-11-29T12:29:35+02:00";0.12
"cpu_usage_total.AAM";"2018-11-29T12:29:37+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:29:38+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:29:40+02:00";0.056
"cpu_usage_total.AAM";"2018-11-29T12:29:41+02:00";0.06
"cpu_usage_total.AAM";"2018-11-29T12:29:43+02:00";0.065
"cpu_usage_total.AAM";"2018-11-29T12:29:44+02:00";0.299
"cpu_usage_total.AAM";"2018-11-29T12:29:45+02:00";0.089
"cpu_usage_total.AAM";"2018-11-29T12:29:47+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T12:29:49+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T12:29:50+02:00";0.061
"cpu_usage_total.AAM";"2018-11-29T12:29:52+02:00";0.075
"cpu_usage_total.AAM";"2018-11-29T12:29:54+02:00";0.062
"cpu_usage_total.AAM";"2018-11-29T12:29:55+02:00";0.126
"cpu_usage_total.AAM";"2018-11-29T12:29:57+02:00";0.062
"cpu_usage_total.AAM";"2018-11-29T12:29:59+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T12:30:01+02:00";3.282
"cpu_usage_total.AAM";"2018-11-29T12:30:02+02:00";0.12
"cpu_usage_total.AAM";"2018-11-29T12:30:03+02:00";0.085
"cpu_usage_total.AAM";"2018-11-29T12:30:05+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T12:30:06+02:00";0.144
"cpu_usage_total.AAM";"2018-11-29T12:30:08+02:00";0.086
"cpu_usage_total.AAM";"2018-11-29T12:30:09+02:00";2.58
"cpu_usage_total.AAM";"2018-11-29T12:30:11+02:00";5.14
"cpu_usage_total.AAM";"2018-11-29T12:30:12+02:00";0.115
"cpu_usage_total.AAM";"2018-11-29T12:30:14+02:00";0.073
"cpu_usage_total.AAM";"2018-11-29T12:30:15+02:00";0.102
"cpu_usage_total.AAM";"2018-11-29T12:30:17+02:00";4.529
