"Series";"Time";"Value"
"memory_usage.AAM";"2018-11-29T14:57:36+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:38+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:40+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:42+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:44+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:46+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:48+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:50+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:52+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:54+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:56+02:00";null
"memory_usage.AAM";"2018-11-29T14:57:58+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:00+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:02+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:04+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:06+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:08+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:10+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:12+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:14+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:16+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:18+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:20+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:22+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:24+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:26+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:28+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:30+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:32+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:34+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:36+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:38+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:40+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:42+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:44+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:46+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:48+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:50+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:52+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:54+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:56+02:00";null
"memory_usage.AAM";"2018-11-29T14:58:58+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:00+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:02+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:04+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:06+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:08+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:10+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:12+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:14+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:16+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:18+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:20+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:22+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:24+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:26+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:28+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:30+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:32+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:34+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:36+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:38+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:40+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:42+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:44+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:46+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:48+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:50+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:52+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:54+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:56+02:00";null
"memory_usage.AAM";"2018-11-29T14:59:58+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:00+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:02+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:04+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:06+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:08+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:10+02:00";null
"memory_usage.AAM";"2018-11-29T15:00:12+02:00";null
