"Series";"Time";"Value"
"cpu_usage_total.AAM";"2018-11-29T15:15:39+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T15:15:40+02:00";0.182
"cpu_usage_total.AAM";"2018-11-29T15:15:41+02:00";0.078
"cpu_usage_total.AAM";"2018-11-29T15:15:43+02:00";0.067
"cpu_usage_total.AAM";"2018-11-29T15:15:45+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T15:15:47+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T15:15:48+02:00";0.068
"cpu_usage_total.AAM";"2018-11-29T15:15:49+02:00";0.068
"cpu_usage_total.AAM";"2018-11-29T15:15:50+02:00";0.075
"cpu_usage_total.AAM";"2018-11-29T15:15:51+02:00";0.119
"cpu_usage_total.AAM";"2018-11-29T15:15:53+02:00";0.078
"cpu_usage_total.AAM";"2018-11-29T15:15:54+02:00";0.082
"cpu_usage_total.AAM";"2018-11-29T15:15:56+02:00";0.175
"cpu_usage_total.AAM";"2018-11-29T15:15:58+02:00";0.074
"cpu_usage_total.AAM";"2018-11-29T15:16:00+02:00";0.061
"cpu_usage_total.AAM";"2018-11-29T15:16:01+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T15:16:03+02:00";0.07
"cpu_usage_total.AAM";"2018-11-29T15:16:04+02:00";0.108
"cpu_usage_total.AAM";"2018-11-29T15:16:06+02:00";0.077
"cpu_usage_total.AAM";"2018-11-29T15:16:07+02:00";0.083
"cpu_usage_total.AAM";"2018-11-29T15:16:08+02:00";0.128
"cpu_usage_total.AAM";"2018-11-29T15:16:10+02:00";2.183
"cpu_usage_total.AAM";"2018-11-29T15:16:12+02:00";0.063
"cpu_usage_total.AAM";"2018-11-29T15:16:13+02:00";0.072
"cpu_usage_total.AAM";"2018-11-29T15:16:15+02:00";0.085
"cpu_usage_total.AAM";"2018-11-29T15:16:16+02:00";0.066
"cpu_usage_total.AAM";"2018-11-29T15:16:18+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T15:16:19+02:00";0.057
"cpu_usage_total.AAM";"2018-11-29T15:16:20+02:00";0.059
"cpu_usage_total.AAM";"2018-11-29T15:16:22+02:00";0.08
"cpu_usage_total.AAM";"2018-11-29T15:16:23+02:00";0.09
"cpu_usage_total.AAM";"2018-11-29T15:16:24+02:00";0.085
